,hazard,total_geoid_not_null_records,total_geoid_records,geoid_records_percentage,total_property_damage_geoid_not_null,total_property_damage,property_damage_records_percentage
0,wind,297747,1537600,19.36,9642518380,528858438795,1.82
1,wildfire,0,0,0,0,0,0
2,tsunami,0,0,0,0,0,0
3,tornado,33634,1537600,2.19,31027475410,528858438795,5.87
4,riverine,68651,1537600,4.46,82065648710,528858438795,15.52
5,lightning,6587,1537600,0.43,460645700,528858438795,0.09
6,landslide,456,1537600,0.03,105288600,528858438795,0.02
7,icestorm,0,0,0,0,0,0
8,hurricane,192,1537600,0.01,62750000,528858438795,0.01
9,heatwave,0,0,0,0,0,0
10,hail,265314,1537600,17.26,25480995700,528858438795,4.82
11,earthquake,0,0,0,0,0,0
12,drought,0,0,0,0,0,0
13,avalanche,0,0,0,0,0,0
14,coldwave,0,0,0,0,0,0
15,winterweat,0,0,0,0,0,0
16,volcano,0,0,0,0,0,0
17,coastal,0,0,0,0,0,0
